log10_duration FAKE.FAKE.1500 FAKE.FAKE.2500 FAKE.FAKE.BBa FAKE.FAKE.BBb FAKE.FAKE.D4000a FAKE.FAKE.D4000b FAKE.FAKE.U FAKE.FAKE.V Hbeta_EW OIIIr_EW OIIIb_EW OIIIHbeta_EW
6.0 1.3527968606123574e+22 9.395526218530019e+21 8.563874369843733e+21 4.908938726913065e+21 9.228053183715808e+21 6.49229872295348e+21 9.957649127016654e+21 4.082862270605677e+21 399.79657212319904 2547.4982995401256 811.46417762291 3758.7590492862346
6.1 1.383492341544837e+22 9.644608023740843e+21 8.716436409605483e+21 5.054400409011898e+21 9.32381956643656e+21 6.629069399666112e+21 1.0091528591934583e+22 4.1731718503873433e+21 386.0326738216781 2411.7331821697285 769.3086620693374 3567.074518060744
6.199999999999999 1.4517212824593452e+22 1.0217981199663722e+22 9.059579758959642e+21 5.399656149802898e+21 9.549768764420916e+21 6.947898027680208e+21 1.039272801743256e+22 4.385229660753533e+21 354.6586349974098 2123.004248754572 679.6290556808 3157.291939432782
6.299999999999999 1.5316810879196258e+22 1.0954109076753927e+22 9.477220446002762e+21 5.873817671011441e+21 9.84773308647662e+21 7.36926250359861e+21 1.075807802108351e+22 4.669945927446878e+21 313.5544787204856 1790.1802682186064 573.5015950760449 2677.236342015137
6.399999999999999 1.5831921821638776e+22 1.1550421553866634e+22 9.785830136467587e+21 6.345816621102031e+21 1.0110050043465048e+22 7.760609498338374e+21 1.0999955235383718e+22 4.951897169660074e+21 272.7692983707551 1517.4793793895433 483.76042923169234 2274.009106991991
6.499999999999998 1.562861493023523e+22 1.160635631517281e+22 9.7254306613141e+21 6.60589917490201e+21 1.0110132620133933e+22 7.910783550422665e+21 1.0871710161218625e+22 5.106060695748741e+21 239.9471243749468 1338.500284727313 423.7784532840827 2002.2258623863424
6.599999999999998 1.4726347645907706e+22 1.10476494808442e+22 9.192248712577414e+21 6.471846614818804e+21 9.620939218501587e+21 7.636996675468428e+21 1.025107248500841e+22 4.983962306924901e+21 217.26264797525872 1214.3761754064733 382.7562020766733 1814.3950254584054
6.6999999999999975 1.3414135838563843e+22 1.0100463948876927e+22 8.333767215562142e+21 6.020505276939147e+21 8.745939782970196e+21 7.027840068946154e+21 9.27469642304366e+21 4.638550084109351e+21 200.449490195878 1108.0246599666007 348.8585320431335 1657.3326822056122
6.799999999999997 1.19141720248809e+22 8.98771444350378e+21 7.350621462347056e+21 5.441240678530287e+21 7.739053470781043e+21 6.289383476933903e+21 8.168428261858766e+21 4.2145389477344177e+21 185.20138126972708 1010.7182773375615 318.1897499418443 1514.109408549133
6.899999999999997 1.0367462149003414e+22 7.839734209305903e+21 6.359672976147441e+21 4.818165620838791e+21 6.727167601231707e+21 5.519207502545487e+21 7.061377897197282e+21 3.773914030655408e+21 171.44541345640627 930.3476477286443 292.48649615046446 1394.279557335515
6.9999999999999964 8.871702174837345e+21 6.733356588817143e+21 5.426873580852495e+21 4.2044897905211584e+21 5.772384560657573e+21 4.776444092436204e+21 6.024193421928384e+21 3.3435389920264334e+21 159.26712647840915 864.0191780195612 270.8048807933154 1294.0911852912857
7.099999999999996 7.489463697832121e+21 5.710156487370813e+21 4.5838932708367254e+21 3.629794825425847e+21 4.902482424680446e+21 4.09184943809423e+21 5.087400057580398e+21 2.928237517957268e+21 148.80844797042406 808.690571455555 252.25826649555455 1209.7572859215336
7.199999999999996 6.263614706182687e+21 4.802581875464538e+21 3.8502789852513236e+21 3.125234715352967e+21 4.1458787053346237e+21 3.495199953347802e+21 4.273316048208879e+21 2.547718394012951e+21 139.06726554725788 756.3202999165245 234.60092036958983 1129.9884858333721
7.299999999999995 5.203790130341573e+21 4.0167090658024793e+21 3.226781398091588e+21 2.705318583423876e+21 3.51429348408326e+21 2.999324723621912e+21 3.587008901862408e+21 2.2195776804363376e+21 129.11285629424108 700.5282107267917 216.23145034786506 1045.872517368898
7.399999999999995 4.3049913793503937e+21 3.3462565919319497e+21 2.699871561254466e+21 2.3503219402352915e+21 2.984545368722222e+21 2.5825274056749057e+21 3.010276038106278e+21 1.936591535635296e+21 119.38048462472628 644.2205349590164 198.08149987425966 961.6825194580023
7.499999999999995 3.552758109385539e+21 2.7810414214185563e+21 2.2567933386214212e+21 2.045171338962122e+21 2.536748581512603e+21 2.22739965017013e+21 2.5258105051838263e+21 1.6891590671613472e+21 110.24281033311038 590.4581578690807 181.01832337238432 881.7192915745753
7.599999999999994 2.9259224776500115e+21 2.3072272571726344e+21 1.886564990359137e+21 1.7857321206899063e+21 2.1606958019648275e+21 1.9276322589408365e+21 2.1214006930885229e+21 1.479718676039472e+21 101.44383687705093 537.8445357089305 164.5794533581849 803.8678259441663
7.699999999999994 2.4049494819411686e+21 1.9111015656419896e+21 1.5774654317418418e+21 1.5624116174680886e+21 1.8423514058157937e+21 1.6718601223154547e+21 1.7830348455684835e+21 1.3004801898556935e+21 93.14957608614266 487.68409280656886 149.09162887999713 729.9252977727086
7.799999999999994 1.9720562495825788e+21 1.5798003990838743e+21 1.3187012018832367e+21 1.366890033476603e+21 1.570180571784822e+21 1.4503917680073903e+21 1.498383446667778e+21 1.1460832461639152e+21 85.37556319097888 440.7280257909404 134.71534512520242 660.8189341071218
7.899999999999993 1.6136364827698963e+21 1.3036654168382657e+21 1.1022809810159779e+21 1.1943787439765434e+21 1.3370020084882898e+21 1.2573437067454374e+21 1.2588037606740488e+21 1.0112676559322184e+21 78.12276147665476 397.61110303544547 121.58961422777605 597.3234787398764
7.999999999999993 1.3184696161381607e+21 1.0749348356302576e+21 9.219496349275383e+20 1.0428143330572615e+21 1.1384627534587004e+21 1.0897249807836795e+21 1.0580755969995769e+21 8.929547617544093e+20 71.4323071844946 358.5113913073346 109.71836124107152 539.6620597329007
8.099999999999993 1.0747353214427139e+21 8.846196476175668e+20 7.703723409751044e+20 9.091113472625426e+20 9.68447581591111e+20 9.435212756809356e+20 8.887429212814422e+20 7.905704839988916e+20 65.3264441052383 323.0811030416433 98.97941591648161 487.3869630633632
8.199999999999992 8.735985072688368e+20 7.263255446894152e+20 6.427125797687393e+20 7.918056675086974e+20 8.238149436520332e+20 8.164483934918506e+20 7.460088036189697e+20 6.980985552746591e+20 59.894702115925966 291.65659550356224 89.4936256461485 441.0449232656367
8.299999999999992 7.080014765432344e+20 5.947929006156627e+20 5.352508049356445e+20 6.896050530241767e+20 7.007656698569545e+20 7.065818591241374e+20 6.257127961462774e+20 6.154491492156129e+20 54.96247511625833 263.2255486258012 80.956510807298 399.14453454935756
8.399999999999991 5.7168500608727233e+20 4.851978280492897e+20 4.443325322058924e+20 5.99638730675401e+20 5.946058299883426e+20 6.106340044409547e+20 5.2351247442858685e+20 5.432616963256486e+20 50.43905670867906 237.39613629077593 73.21155170109307 361.04674470054806
8.499999999999991 4.6010068455797116e+20 3.945591311050894e+20 3.6785094588121665e+20 5.20353852586916e+20 5.035771693303083e+20 5.2669978756341576e+20 4.3710989221471394e+20 4.769984030376474e+20 46.48626406275098 214.94562548217172 66.48534454403097 327.91723408895365
8.59999999999999 3.6895449621949186e+20 3.197107741048179e+20 3.036484228123374e+20 4.5024739983631555e+20 4.2496043014569414e+20 4.5304646212694986e+20 3.6394311088779605e+20 4.1876624880525954e+20 42.918747658423754 194.9817704188619 60.47860567342656 298.3791237507122
8.69999999999999 2.94790106275459e+20 2.5807561284985124e+20 2.498902004410136e+20 3.877672235508302e+20 3.566810256967203e+20 3.879730404192625e+20 3.019105688273671e+20 3.6819228978117784e+20 39.64299142993034 177.14672347395458 55.08045387321357 271.8701687770985
8.79999999999999 2.3498997103973525e+20 2.0776430264448254e+20 2.0525893841863364e+20 3.32125594020999e+20 2.9798014944421465e+20 3.3061330383997436e+20 2.4974184344667705e+20 3.238689531274537e+20 36.606079340694144 161.32655897308976 50.254720415126464 248.18735872891037
8.89999999999999 1.870425024083527e+20 1.6688310107553484e+20 1.6834376195487875e+20 2.826530534203029e+20 2.4785002343211978e+20 2.801953692069752e+20 2.0605813351023057e+20 2.8574204150151073e+20 33.73678371578217 147.22643611640095 45.89273110802298 226.8559509402061
8.99999999999999 1.48724616265958e+20 1.3378184460472546e+20 1.3793560861425995e+20 2.3902642519208067e+20 2.054534769780478e+20 2.361656967522251e+20 1.69689018252264e+20 2.4998717133357915e+20 31.19040691394453 135.27134348733404 42.19062219471577 208.65237259599434
9.099999999999989 1.1819937499347504e+20 1.0705537851704037e+20 1.1295185329429645e+20 2.008625872345725e+20 1.6972619277674168e+20 1.9794119061102238e+20 1.3948902093853052e+20 2.152192662810026e+20 29.02545884432523 125.48720317274339 39.19419629566755 193.7068583127362
9.199999999999989 9.392888596003724e+19 8.554769669723496e+19 9.239314870507055e+19 1.6791432925766464e+20 1.3972234499802387e+20 1.6513975905711568e+20 1.1442562338135723e+20 1.8429664693838037e+20 27.08333940010987 116.99855802255024 36.58478404554063 180.66668146820075
9.299999999999988 7.463621340515687e+19 6.827658455700369e+19 7.54246807817044e+19 1.3967753584523375e+20 1.1456959399274301e+20 1.3716639561402728e+20 9.360512126843922e+19 1.5790286734947785e+20 25.306574212574592 109.41669913467047 34.21881726673318 168.94209061397825
9.399999999999988 5.929925783902899e+19 5.4433949331068305e+19 6.141986312981399e+19 1.1561491470480975e+20 9.356625308414971e+19 1.1340911420089249e+20 7.633679206985969e+19 1.3462522300535454e+20 23.755901121142912 102.88099670770683 32.16627823748649 158.80317606633622
9.499999999999988 4.7108813800862966e+19 4.33586645561327e+19 4.988292099916122e+19 9.527487843061352e+19 7.612099855132875e+19 9.337683119177114e+19 6.206341008505586e+19 1.1416124518547177e+20 22.409595147657793 97.22576812862494 30.385342189205783 150.0207054654885
9.599999999999987 3.742257838189927e+19 3.451455904281404e+19 4.041189157223801e+19 7.82024166062749e+19 6.172596708935258e+19 7.659405523921438e+19 5.031974750783074e+19 9.627666347359299e+19 21.24649560172691 92.34151337232409 28.843768008310263 142.43177698236127
9.699999999999987 2.972731941818399e+19 2.7460884822388527e+19 3.2673113207749014e+19 6.399598347904002e+19 4.992596020807755e+19 6.264839822663213e+19 4.070988151812859e+19 8.08487247485149e+19 20.222960298948664 88.04070123845025 27.48379426901343 135.74745580641235
9.799999999999986 2.361424900108999e+19 2.184281751290927e+19 2.6390235981110112e+19 5.229245064332463e+19 4.032950959518653e+19 5.117033552242307e+19 3.2900080964849615e+19 6.77142170819446e+19 19.290211734728935 84.12406671453745 26.244221821022702 129.6585002702891
9.899999999999986 2.1046656182151905e+19 1.9480840673203e+19 2.372622064133514e+19 4.7297076729635406e+19 3.6258813399711654e+19 4.627289113498454e+19 2.958737956564369e+19 6.201376652905329e+19 18.825187723102093 82.17076297749453 25.62634669063848 126.62229739123511
9.999999999999986 2.1046656182151905e+19 1.9480840673203e+19 2.372622064133514e+19 4.7297076729635406e+19 3.6258813399711654e+19 4.627289113498454e+19 2.958737956564369e+19 6.201376652905329e+19 18.825187723102093 82.17076297749453 25.62634669063848 126.62229739123511
